"numero_processo","numero_contrato","inicio_vigencia","termino_vigencia","gestor_contrato","fiscal_contrato","fonte_recurso","data_assinatura","data_publicacao","objeto_contrato","fundamentacao_contrato","processo_sei","objeto","fundamentacao_legal","empresa_contratada","valor_global","fonte","fiscais_contrato","fim_vigencia","status_contrato","contrato_continuado"
"06010097.000745/2023-18","001/2024","2024-03-05","2025-03-04","ANDREA DA SILVA OLIVEIRA","A preencher pela unidade gestora","0.5.00.000000","2024-03-05","2024-03-05","Aquisição de ração canina para cães do GPOC","A preencher pela unidade gestora","06010097.000745/2023-18","Aquisição de ração canina para cães do GPOC","A preencher pela unidade gestora","W & D CONSTRUÇÕES, COMÉRCIO E SERVIÇOS LTDA","34445.71","0.5.00.000000","A preencher pela unidade gestora","2025-03-04","vigente","false"
"01010033.002408/2018-65","002/2024","2024-01-19","2025-01-18","JACKSON TAVARES DA SILVA MEDEIROS","A preencher pela unidade gestora","0.5.00.000000","2024-01-19","2024-01-19","Confecção de prova objetiva de caráter eliminatório e classificatório","A preencher pela unidade gestora","01010033.002408/2018-65","Confecção de prova objetiva de caráter eliminatório e classificatório","A preencher pela unidade gestora","INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL – IDECAN","8622.24","0.5.00.000000","A preencher pela unidade gestora","2025-01-18","vigente","false"
"06010012.002273/2023-21","003/2024","2024-02-06","2025-02-05","AGNALDO BERNARDO DOS SANTOS JUNIOR","A preencher pela unidade gestora","0.5.00.000000","2024-02-06","2024-02-06","Limpeza de fossas e semidouros","A preencher pela unidade gestora","06010012.002273/2023-21","Limpeza de fossas e semidouros","A preencher pela unidade gestora","ESMERALDA COMÉRCIO E SERVIÇOS LTDA","444996.00","0.5.00.000000","A preencher pela unidade gestora","2025-02-05","vigente","false"
"06010046.000028/2022-19","004/2024","2024-03-14","2025-03-13","HINDIANE SAIURES ARAUJO DE MEDEIROS","A preencher pela unidade gestora","0.7.00.914267","2024-03-14","2024-03-14","Aquisição de equipamentos para aparelhamento de oficinas de trabalho","A preencher pela unidade gestora","06010046.000028/2022-19","Aquisição de equipamentos para aparelhamento de oficinas de trabalho","A preencher pela unidade gestora","REIZ COMERCIO DE MAQUINAS DE COSTURA LTDA","12318.00","0.7.00.914267","A preencher pela unidade gestora","2025-03-13","vigente","false"
"06010046.000028/2022-19","005/2024","2024-03-14","2025-03-13","HINDIANE SAIURES ARAUJO DE MEDEIROS","A preencher pela unidade gestora","0.7.00.914267","2024-03-14","2024-03-14","aquisição de equipamentos para aparelhamento de oficinas de trabalho","A preencher pela unidade gestora","06010046.000028/2022-19","aquisição de equipamentos para aparelhamento de oficinas de trabalho","A preencher pela unidade gestora","TECHX INFORMÁTICA LTDA","5463.00","0.7.00.914267","A preencher pela unidade gestora","2025-03-13","vigente","false"
"06010046.000028/2022-19","006/2024","2024-03-14","2025-03-13","HINDIANE SAIURES ARAUJO DE MEDEIROS","A preencher pela unidade gestora","0.7.00.914267","2024-03-14","2024-03-14","aquisição de equipamentos para aparelhamento de oficinas de trabalho","A preencher pela unidade gestora","06010046.000028/2022-19","aquisição de equipamentos para aparelhamento de oficinas de trabalho","A preencher pela unidade gestora","TECHX INFORMÁTICA LTDA","9674.00","0.7.00.914267","A preencher pela unidade gestora","2025-03-13","vigente","false"
"06010008.002469/2023-84","007/2024","2024-04-02","2025-04-01","AUGUSTO CESAR FERREIRA BEZERRA","A preencher pela unidade gestora","0.5.00.000000","2024-04-02","2024-04-02","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","06010008.002469/2023-84","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","ASYS TECNOLOGIA LTDA","7710.00","0.5.00.000000","A preencher pela unidade gestora","2025-04-01","vigente","false"
"06010008.002469/2023-84","008/2024","2024-04-02","2025-04-01","AUGUSTO CESAR FERREIRA BEZERRA","A preencher pela unidade gestora","0.5.00.000000","2024-04-02","2024-04-02","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","06010008.002469/2023-84","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","FORMATO DIGITAL COMERCIO E COMUNICAÇÃO MULTIMIDIA LTDA","8895.00","0.5.00.000000","A preencher pela unidade gestora","2025-04-01","vigente","false"
"06010008.002469/2023-84","009/2024","2024-04-02","2025-04-01","AUGUSTO CESAR FERREIRA BEZERRA","A preencher pela unidade gestora","0.5.00.000000","2024-04-02","2024-04-02","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","06010008.002469/2023-84","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","CLAVES E NOTAS COMERCIO INSTRUMENTOS MUSICAIS LTDA","851.90","0.5.00.000000","A preencher pela unidade gestora","2025-04-01","vigente","false"
"06010008.002469/2023-84","010/2024","2024-04-02","2025-04-01","AUGUSTO CESAR FERREIRA BEZERRA","A preencher pela unidade gestora","0.5.00.000000","2024-04-02","2024-04-02","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","06010008.002469/2023-84","Aquisição de equipamentos para a Assessoria de Comunicação da Secretaria de Administração Penitenciária (SEAP)","A preencher pela unidade gestora","FAGA DISTRIBUIÇÃO LTDA","11830.39","0.5.00.000000","A preencher pela unidade gestora","2025-04-01","vigente","false"
